code_,2020-01-31 00:00:00,2020-02-29 00:00:00,2020-03-31 00:00:00,2020-04-30 00:00:00,2020-05-31 00:00:00,2020-06-30 00:00:00,2020-07-31 00:00:00,2020-08-31 00:00:00,2020-09-30 00:00:00,2020-10-31 00:00:00,2020-11-30 00:00:00,2020-12-31 00:00:00,2021-01-31 00:00:00,2021-02-28 00:00:00,2021-03-31 00:00:00,2021-04-30 00:00:00,2021-05-31 00:00:00,2021-06-30 00:00:00,2021-07-31 00:00:00,2021-08-31 00:00:00,2021-09-30 00:00:00,2021-10-31 00:00:00,2021-11-30 00:00:00,2021-12-31 00:00:00,2022-01-31 00:00:00,2022-02-28 00:00:00,2022-03-31 00:00:00,2022-04-30 00:00:00,2022-05-31 00:00:00,2022-06-30 00:00:00,2022-07-31 00:00:00,2022-08-31 00:00:00,2022-09-30 00:00:00,2022-10-31 00:00:00,2022-11-30 00:00:00,2022-12-31 00:00:00,2023-01-31 00:00:00,2023-02-28 00:00:00,2023-03-31 00:00:00,2023-04-30 00:00:00,2023-05-31 00:00:00,2023-06-30 00:00:00,2023-07-31 00:00:00,2023-08-31 00:00:00,2023-09-30 00:00:00,2023-10-31 00:00:00,2023-11-30 00:00:00,2023-12-31 00:00:00
S009,-0.05059892606361016,-0.14184397163120566,-0.045178528054408584,0.10566136185755304,0.16862170087976525,0.007343412526997994,0.02257924446374293,-0.10474978795589474,-0.06281227694503932,-0.07474226804123707,0.19832869080779947,0.02779053743683968,0.0141037306642402,-0.011674008810572678,0.1260888501742159,-0.020584840323201292,0.03380887238616381,0.007221588749525054,0.03611526946107779,0.06438232642019837,-0.07808265582655827,0.015052593398621639,-0.022459893048128343,0.1515536979829184,-0.11858771374287513,0.007224128589488954,0.02087147564994507,-0.12001437297879991,-0.09647011632571201,-0.057262878620384594,0.0650234741784037,-0.012367491166077826,-0.11680282623095606,0.10026640833131517,0.093708754949406,-0.04662797678607156,0.015227367542761883,-0.0030883261272389717,0.08140256516342559,-0.0967310265723571,0.04921841994085341,0.0402090872537193,0.004245465071401,0.0890619065704521,-0.07053941908713701,-0.04155175583747006,-0.07300249089863953,0.042294202599546304
S012,0.05078895463510835,-0.13815585221980753,-0.06978343073221038,0.15612952968388583,0.09500609013398287,-0.03281603621079865,-0.18840333276653642,0.05486542443064191,0.019492025989368056,-0.1523736600306279,0.08749437696806117,0.005246166263115359,0.11757600161062998,0.07214676309754808,0.01781170483460559,-0.1087529047250193,-0.0024449877750610804,-0.01318333626296364,-0.04088555615068734,0.007078986587183422,-0.007266629401900482,-0.09023393984404005,-0.007063572149343944,0.05967078189300401,-0.08250328885547831,-0.025536261491317713,0.05852199914566425,-0.09395136146331318,-0.012010676156583577,-0.1518929947857629,-0.000825536598789256,-0.13636363636363635,-0.18860201511335017,0.05413422321097516,0.06254416961130738,-0.1139792155548105,0.05723905723905731,-0.14241486068111453,0.289774970390841,-0.055640012161751295,0.03762376237623766,0.07420494699646629,0.06395002974420017,-0.01843575418994403,-0.028953837749248867,0.02932882120699376,0.1987127916331457,0.14883401920438954
S013,0.05342651036970225,-0.05993635077793491,-0.18201863574934207,0.23697964423253248,0.11178340290276867,0.021520951888256645,0.012525613061008745,0.10808469682386912,-0.060400944754882224,-0.053138352289823554,0.11250869098034255,0.06454234628103817,-0.028167877320419588,0.04432785481021462,-0.05745429492384546,0.04283581711914586,0.0674624398307968,0.11742579674463127,0.07925873129009275,0.07317396826600442,-0.04194413368138794,0.15078037391767918,0.07143443767349411,-0.03113467592522856,-0.12073415997592918,-0.1541643635326213,0.026164155533740185,-0.13468890128737632,-0.029390412402519828,-0.056150059994612755,0.1747572815533982,-0.03719395263791647,-0.0897297297297297,0.07736895161290325,0.03247460546647418,-0.06453241041170954,0.08050002556367919,-0.06513603489840436,0.11104742442744286,0.007443211473438183,-0.052857562540959524,0.08544963517483173,0.13315764997674773,0.06550639134709924,-0.07034206695778755,-0.04412900733874081,0.16822372590306034,0.08829572363838967
S017,0.059830656207197075,-0.07093703406353946,-0.08727356907228423,0.1781605417132337,0.04972217448587957,0.11311053984575814,0.001514411333658927,0.04151657892306271,-0.07453689444273326,-0.047020615645298025,0.058024020165076795,0.028722075759678,0.06555193164591855,-0.030335906530356782,-0.004937958976956147,0.04056117185888186,-0.008655602318748512,0.09498787388843977,0.04900589101620034,0.05989747910961318,-0.06596428453102732,0.14707713593912142,0.003704041048061324,0.018904507998061204,-0.07100821508588495,-0.03229045213110493,0.045295812849635686,-0.10309611531252028,-0.04429289556016458,-0.05722780999926591,0.08151629555435713,-0.05949426279630221,-0.1056067588325652,-0.03576472542992448,0.11820134110531622,-0.05838470297224074,0.03435178228566649,-0.013175074183976343,0.17066634181995366,0.06973505553041104,0.07471527686870005,0.023934091045763495,-0.006124441551525139,-0.025509900695724563,-0.039280715633177254,0.05068365444375389,0.0948940965700582,0.004085338175215725
S019,-0.027803521779425355,-0.0683744584667546,-0.050491159135559904,0.08745637446109633,0.03823131878741082,0.04165096117602718,-0.0007208506037124085,0.02215076813147565,0.03537981269510948,-0.059819034852546915,0.022497785651018454,0.1012938372488934,-0.05207843137254897,0.04877255730775487,0.06045035514583641,0.05542403564963094,0.018233544549334013,-0.021741862510996524,0.09554940910233833,0.017465753424657615,-0.03135075041689839,0.0690884778248273,-0.038567493112947715,-0.02830083565459618,-0.0766780432309444,-0.06256169792694977,0.0884094198131824,-0.10498719668333134,-0.028108108108108043,-0.024162011173184172,0.09834908988288404,-0.04248450413223126,-0.18897742363877823,0.23763474952441332,0.07677344053948909,-0.02817738675543935,0.056617295747730445,-0.029428095502498475,0.07621033124855225,0.008517887563884052,0.11668599135659319,0.12359656571374678,0.0006828851899274291,0.021032991264523737,-0.12412139254113952,-0.03101864867397608,0.0989125295508273,-0.10011949470809145
S021,0.04996561313279302,-0.03597765363128491,-0.11668702120572882,0.1740646060887754,0.12436016751977674,0.11709607883391504,0.010254428048475539,0.14603656494854556,-0.07106733592196235,-0.10492282436788047,0.07535847530004047,0.04376500052175736,-0.05474512712737456,-0.02197872340425533,0.012351726047234779,0.051723424504489524,0.0022246057283596965,0.18094008993567368,0.06310604894566718,0.07264646464646463,-0.13541275586057755,0.12622300725578817,0.04631365198375503,-0.13743326082657703,-0.05328064921948372,-0.12743012798985043,-0.023699322876489237,-0.13583884414762437,0.02256377519703401,-0.12459345704993308,0.1130047763786366,-0.09158578413486096,-0.25728011227161096,0.11660356191277521,0.09148155180051898,-0.022027839934904647,0.09919268669120251,-0.15620441758699732,0.19169398231183132,-0.006630183119343269,0.1166377121475346,0.1458465143526655,0.12563632241709777,0.018648697869240616,-0.09465385912892177,0.020973653407019288,0.12214876033057842,-0.025911473215014635
S026,-0.1001665972511453,-0.07907598672076732,-0.044627709707822816,0.2093422981649058,-0.005541605333795108,0.03944295094971584,-0.04096111633740995,0.02409443725743854,0.013154747668021827,-0.1505540545831865,0.008310249307479145,0.021503465434512092,0.06516368128474381,-0.06450942062138676,0.0958861874559549,-0.03824697997351212,-0.030320319504442028,0.0435396866170048,-0.021709194005670396,-0.05946870178072472,-0.047906872621446106,-0.032488780852655164,-0.05200438533771867,0.12036852589641422,0.001985089770170756,-0.009620430295609661,0.07375338572887524,-0.0408440276406713,0.11181361510479837,-0.03993370688974818,0.007819181429444155,-0.021739130434782483,-0.08187372708757634,0.17319041833015114,0.05270896125854585,-0.08148562635517942,-0.0353525702274029,-0.059859583620794576,0.02354037004106857,-0.019227622320405757,-0.07639179573043109,0.036169319083399376,0.04062041687036144,0.10434258142340158,0.04694012699154704,-0.03984078705268301,0.03373715687777956,0.05714810056891162
S027,0.030497752621940988,-0.11436532106524977,-0.14899099762390822,0.21954256776389536,0.099872003320995,0.13344725803945923,0.16733954024882602,0.1845324153757888,-0.13690564912803704,-0.06789964894254652,0.09451135423370416,0.08124185136897011,0.019704814156556782,-0.09601908453854169,-0.044134908834807085,0.06878048780487811,-0.05983099441677975,0.1020276794335373,0.06257740220004382,0.04336173721825176,-0.07219198741066157,0.05012267788293023,0.10969387755102034,0.07768404442556287,-0.03972309213779457,-0.05434969360288644,0.06991421568627465,-0.09557684584934889,-0.057736135730564686,-0.08062672315244446,0.16972576117469207,-0.026561822797349977,-0.12509496074955695,0.07644787644787665,-0.017391304347826098,-0.12392960690445687,0.1536739425921485,0.013614797497077502,0.13481522262748613,0.02112294638021317,0.045167757532873276,0.07707257482369934,0.020731580588174037,-0.039543978937143676,-0.09632640135120873,-0.01715107913669056,0.09185491751451402,0.006745450742522419
S043,0.06201127477723212,-0.08688972345510404,-0.20869098712446355,0.08950617283950635,0.023684210526315752,-0.04915939561608862,0.05399375278893359,0.06976241900647961,0.005089576547231189,-0.02277348515656763,0.06129164952694377,0.05380476556495006,-0.08737680060652009,0.010519801980198196,0.05631262525050107,0.027994667682346153,0.014867841409691662,-0.021164978292329995,0.056893995552260934,-0.010021097046413519,-0.07443993649673664,0.06318370426254227,-0.06622752358910444,0.1321223709369026,0.028836424957841444,0.02774108322324964,0.00048410521219954816,0.027676157149673974,-0.0009457755359394415,-0.0025368638021247003,-0.0032618825722272593,-0.04355238685678853,-0.09645161290322579,0.056487202118270075,0.06656606304493629,-0.002821758896378701,-0.02589356632247819,-0.029675525843795847,0.05385660890248056,0.028044871794871806,-0.07216174183514779,0.003666666666666707,0.022284582370419415,-0.03140683179536996,-0.05614567526555392,0.018204758471521254,0.03543586109142449,0.004945429740791152
S059,0.04683344536341583,-0.09668825037096973,-0.16184574989901335,0.22193993285545766,0.08820939483193158,-0.011722316307400615,0.03186546463245499,0.09898432652620781,-0.11448389201730436,0.0861684252973991,0.08008274231678492,-0.023794670706710597,0.05864564082658896,0.06805876169396807,-0.0034498420030343313,0.10504371343519048,0.00587688000409714,0.025453766619911056,0.10030666955232759,0.07298977787170613,-0.07946465769838618,0.08424452370315572,-0.011146574492846617,0.026944059439282908,-0.06681771000368975,-0.018794862108046928,0.03734107107558837,-0.18580739990224793,-0.024197352958836182,-0.04327784216626285,0.06973215312104841,-0.057809507226188384,-0.1283943867322762,-0.041869424168694214,0.1162816403227589,-0.1263491434795524,0.10906642728904847,-0.10325599920342532,0.1479637007525454,0.028555001916443112,0.14617537313432827,-0.03249272550921434,0.10692243536280222,0.035119726339794655,-0.035382574082264306,-0.07520310054408574,0.04808224594701471,0.05938116183831332
