,RETURN,MDD,MEAN,VOL,exMDD,exMEAN,exVOL,SHARPE,TURNOVER
S002,1.1169935688665693,-0.11735701593290193,0.06237644605561374,0.07655761099571248,-0.12785601047277573,0.017749431785303513,0.07434718532446141,0.23242056242540715,5.775246294961755
S005,0.969539291352191,-0.13419825409497466,-0.019220583568348444,0.09325292973076546,-0.17257197448648764,-0.06343101035825584,0.09291694953046689,-0.6841979850134776,19.939686837981625
S009,1.0655227329975345,-0.05750972221578898,0.04079389588335888,0.07094830412399428,-0.0643664512851998,-0.003655213372475221,0.07018021026842701,-0.05340490112440071,12.97668931756592
S012,1.1218670886788717,-0.1149432710326388,0.0990238367518815,0.10692885137612823,-0.12474829725389114,0.05424393249726815,0.10501061299360916,0.5091325026052855,12.747656686766721
S013,1.1595105938047612,-0.09016697547869645,0.09117251527900236,0.08630061351551514,-0.09838603818788261,0.046459260792440664,0.08450563115418926,0.5398528507631265,13.081382224040393
S017,1.1746183722145342,-0.07354786031604754,0.09877104168810233,0.06904818443994516,-0.08545853474530074,0.05407321567652208,0.06768296867232923,0.7847875954680302,18.471804906704968
S019,1.0896596209495368,-0.09438279891888246,0.0594370936721228,0.1281290511010442,-0.09813262755810237,0.014893284851416107,0.12723878383889234,0.11593163684919411,26.957654905159707
S021,1.1457599960989762,-0.12733373065736553,0.09119573735702093,0.12434608095646578,-0.13008023394908907,0.046452484899164315,0.12260594942473255,0.3748638794920736,9.568555196353177
S026,1.072344329843793,-0.05541785838570512,0.05245415313984274,0.06786207758097611,-0.07863606804669532,0.007956714866963685,0.0670035902641723,0.11598922948395846,9.638697688334783
S027,1.12587117605872,-0.08020816704835099,0.07210841876147196,0.07645616743074254,-0.09192477991554104,0.02752437418153616,0.07542729800835848,0.36001720510462587,12.858218325962037
S043,1.0125090401810928,-0.06005808154031955,0.005498346823039402,0.04646192504218155,-0.07705557929414253,-0.03878677139511026,0.04648301099977137,-0.8412164625447932,22.815364557746832
S059,1.080946800388617,-0.09983556550324268,0.04452411482684848,0.07935629777470077,-0.10529695281856477,-1.7747394834517353e-06,0.07784235800657974,-0.0007405615539559828,9.38768957974849
S084,1.231969736409262,-0.08930996013717363,0.1319626812327671,0.09198544437228298,-0.10119467444441832,0.08721952106571523,0.09164017030261272,0.9499307067439862,16.53280520800846
S087,1.386290530716811,-0.11646330452207687,0.22961821302911067,0.15083549990628126,-0.12067976142526049,0.18440797205389248,0.14933969179201156,1.2267359480628508,10.673018167397327
S089,1.015222006982794,-0.054380316540691975,0.007512033603672344,0.06240811222978579,-0.07600075764643821,-0.0367711544408737,0.06255620936423201,-0.594006902658392,27.556643824944647
S092,1.017013471812866,-0.05970619007266398,0.021112760938153917,0.06387041977463886,-0.06337835498997046,-0.023251874709188717,0.06340888094616355,-0.3674646603968323,18.04635344246978
S095,0.9610937031364706,-0.1376702427086265,-0.018721279502753544,0.10254595846806401,-0.18278418421301978,-0.0629993340754168,0.10144145668574282,-0.6173247926929576,20.54050858886529
S130,1.1333717882766492,-0.05365402773117722,0.08129917967803954,0.07036899302147329,-0.05755623327369164,0.03668324742195458,0.0691141758788329,0.5217681119408765,8.901508755322133
S131,1.049645649581253,-0.06745820550627724,0.02689051688453179,0.04513551193063576,-0.08172883447167822,-0.01751872172077632,0.04384625877728403,-0.39198328342220956,19.973573147557122
S143,0.9949142577538646,-0.09518242759520879,-0.021024505172385043,0.09104188100009826,-0.1389514116233198,-0.06526775712862645,0.09027967435079844,-0.7206286546557507,10.274279055164914
