eval_d,TB3MS
9/1/60,2.48
10/1/60,2.3
11/1/60,2.37
12/1/60,2.25
1/1/61,2.24
2/1/61,2.42
3/1/61,2.39
4/1/61,2.29
5/1/61,2.29
6/1/61,2.33
7/1/61,2.24
8/1/61,2.39
9/1/61,2.28
10/1/61,2.3
11/1/61,2.48
12/1/61,2.6
1/1/62,2.72
2/1/62,2.73
3/1/62,2.72
4/1/62,2.73
5/1/62,2.69
6/1/62,2.73
7/1/62,2.92
8/1/62,2.82
9/1/62,2.78
10/1/62,2.74
11/1/62,2.83
12/1/62,2.87
1/1/63,2.91
2/1/63,2.92
3/1/63,2.89
4/1/63,2.9
5/1/63,2.93
6/1/63,2.99
7/1/63,3.18
8/1/63,3.32
9/1/63,3.38
10/1/63,3.45
11/1/63,3.52
12/1/63,3.52
1/1/64,3.52
2/1/64,3.53
3/1/64,3.54
4/1/64,3.47
5/1/64,3.48
6/1/64,3.48
7/1/64,3.46
8/1/64,3.5
9/1/64,3.53
10/1/64,3.57
11/1/64,3.64
12/1/64,3.84
1/1/65,3.81
2/1/65,3.93
3/1/65,3.93
4/1/65,3.93
5/1/65,3.89
6/1/65,3.8
7/1/65,3.84
8/1/65,3.84
9/1/65,3.92
10/1/65,4.03
11/1/65,4.09
12/1/65,4.38
1/1/66,4.59
2/1/66,4.65
3/1/66,4.59
4/1/66,4.62
5/1/66,4.64
6/1/66,4.5
7/1/66,4.8
8/1/66,4.96
9/1/66,5.37
10/1/66,5.35
11/1/66,5.32
12/1/66,4.96
1/1/67,4.72
2/1/67,4.56
3/1/67,4.26
4/1/67,3.84
5/1/67,3.6
6/1/67,3.54
7/1/67,4.21
8/1/67,4.27
9/1/67,4.42
10/1/67,4.56
11/1/67,4.73
12/1/67,4.97
1/1/68,5
2/1/68,4.98
3/1/68,5.17
4/1/68,5.38
5/1/68,5.66
6/1/68,5.52
7/1/68,5.31
8/1/68,5.09
9/1/68,5.19
10/1/68,5.35
11/1/68,5.45
12/1/68,5.96
1/1/69,6.14
2/1/69,6.12
3/1/69,6.02
4/1/69,6.11
5/1/69,6.04
6/1/69,6.44
7/1/69,7
8/1/69,6.98
9/1/69,7.09
10/1/69,7
11/1/69,7.24
12/1/69,7.82
1/1/70,7.87
2/1/70,7.13
3/1/70,6.63
4/1/70,6.51
5/1/70,6.84
6/1/70,6.68
7/1/70,6.45
8/1/70,6.41
9/1/70,6.12
10/1/70,5.91
11/1/70,5.28
12/1/70,4.87
1/1/71,4.44
2/1/71,3.7
3/1/71,3.38
4/1/71,3.86
5/1/71,4.14
6/1/71,4.75
7/1/71,5.4
8/1/71,4.94
9/1/71,4.69
10/1/71,4.46
11/1/71,4.22
12/1/71,4.01
1/1/72,3.38
2/1/72,3.2
3/1/72,3.73
4/1/72,3.71
5/1/72,3.69
6/1/72,3.91
7/1/72,3.98
8/1/72,4.02
9/1/72,4.66
10/1/72,4.74
11/1/72,4.78
12/1/72,5.07
1/1/73,5.41
2/1/73,5.6
3/1/73,6.09
4/1/73,6.26
5/1/73,6.36
6/1/73,7.19
7/1/73,8.01
8/1/73,8.67
9/1/73,8.29
10/1/73,7.22
11/1/73,7.83
12/1/73,7.45
1/1/74,7.77
2/1/74,7.12
3/1/74,7.96
4/1/74,8.33
5/1/74,8.23
6/1/74,7.9
7/1/74,7.55
8/1/74,8.96
9/1/74,8.06
10/1/74,7.46
11/1/74,7.47
12/1/74,7.15
1/1/75,6.26
2/1/75,5.5
3/1/75,5.49
4/1/75,5.61
5/1/75,5.23
6/1/75,5.34
7/1/75,6.13
8/1/75,6.44
9/1/75,6.42
10/1/75,5.96
11/1/75,5.48
12/1/75,5.44
1/1/76,4.87
2/1/76,4.88
3/1/76,5
4/1/76,4.86
5/1/76,5.2
6/1/76,5.41
7/1/76,5.23
8/1/76,5.14
9/1/76,5.08
10/1/76,4.92
11/1/76,4.75
12/1/76,4.35
1/1/77,4.62
2/1/77,4.67
3/1/77,4.6
4/1/77,4.54
5/1/77,4.96
6/1/77,5.02
7/1/77,5.19
8/1/77,5.49
9/1/77,5.81
10/1/77,6.16
11/1/77,6.1
12/1/77,6.07
1/1/78,6.44
2/1/78,6.45
3/1/78,6.29
4/1/78,6.29
5/1/78,6.41
6/1/78,6.73
7/1/78,7.01
8/1/78,7.08
9/1/78,7.85
10/1/78,7.99
11/1/78,8.64
12/1/78,9.08
1/1/79,9.35
2/1/79,9.32
3/1/79,9.48
4/1/79,9.46
5/1/79,9.61
6/1/79,9.06
7/1/79,9.24
8/1/79,9.52
9/1/79,10.26
10/1/79,11.7
11/1/79,11.79
12/1/79,12.04
1/1/80,12
2/1/80,12.86
3/1/80,15.2
4/1/80,13.2
5/1/80,8.58
6/1/80,7.07
7/1/80,8.06
8/1/80,9.13
9/1/80,10.27
10/1/80,11.62
11/1/80,13.73
12/1/80,15.49
1/1/81,15.02
2/1/81,14.79
3/1/81,13.36
4/1/81,13.69
5/1/81,16.3
6/1/81,14.73
7/1/81,14.95
8/1/81,15.51
9/1/81,14.7
10/1/81,13.54
11/1/81,10.86
12/1/81,10.85
1/1/82,12.28
2/1/82,13.48
3/1/82,12.68
4/1/82,12.7
5/1/82,12.09
6/1/82,12.47
7/1/82,11.35
8/1/82,8.68
9/1/82,7.92
10/1/82,7.71
11/1/82,8.07
12/1/82,7.94
1/1/83,7.86
2/1/83,8.11
3/1/83,8.35
4/1/83,8.21
5/1/83,8.19
6/1/83,8.79
7/1/83,9.08
8/1/83,9.34
9/1/83,9
10/1/83,8.64
11/1/83,8.76
12/1/83,9
1/1/84,8.9
2/1/84,9.09
3/1/84,9.52
4/1/84,9.69
5/1/84,9.83
6/1/84,9.87
7/1/84,10.12
8/1/84,10.47
9/1/84,10.37
10/1/84,9.74
11/1/84,8.61
12/1/84,8.06
1/1/85,7.76
2/1/85,8.27
3/1/85,8.52
4/1/85,7.95
5/1/85,7.48
6/1/85,6.95
7/1/85,7.08
8/1/85,7.14
9/1/85,7.1
10/1/85,7.16
11/1/85,7.24
12/1/85,7.1
1/1/86,7.07
2/1/86,7.06
3/1/86,6.56
4/1/86,6.06
5/1/86,6.15
6/1/86,6.21
7/1/86,5.83
8/1/86,5.53
9/1/86,5.21
10/1/86,5.18
11/1/86,5.35
12/1/86,5.53
1/1/87,5.43
2/1/87,5.59
3/1/87,5.59
4/1/87,5.64
5/1/87,5.66
6/1/87,5.67
7/1/87,5.69
8/1/87,6.04
9/1/87,6.4
10/1/87,6.13
11/1/87,5.69
12/1/87,5.77
1/1/88,5.81
2/1/88,5.66
3/1/88,5.7
4/1/88,5.91
5/1/88,6.26
6/1/88,6.46
7/1/88,6.73
8/1/88,7.06
9/1/88,7.24
10/1/88,7.35
11/1/88,7.76
12/1/88,8.07
1/1/89,8.27
2/1/89,8.53
3/1/89,8.82
4/1/89,8.65
5/1/89,8.43
6/1/89,8.15
7/1/89,7.88
8/1/89,7.9
9/1/89,7.75
10/1/89,7.64
11/1/89,7.69
12/1/89,7.63
1/1/90,7.64
2/1/90,7.74
3/1/90,7.9
4/1/90,7.77
5/1/90,7.74
6/1/90,7.73
7/1/90,7.62
8/1/90,7.45
9/1/90,7.36
10/1/90,7.17
11/1/90,7.06
12/1/90,6.74
1/1/91,6.22
2/1/91,5.94
3/1/91,5.91
4/1/91,5.65
5/1/91,5.46
6/1/91,5.57
7/1/91,5.58
8/1/91,5.33
9/1/91,5.22
10/1/91,4.99
11/1/91,4.56
12/1/91,4.07
1/1/92,3.8
2/1/92,3.84
3/1/92,4.04
4/1/92,3.75
5/1/92,3.63
6/1/92,3.66
7/1/92,3.21
8/1/92,3.13
9/1/92,2.91
10/1/92,2.86
11/1/92,3.13
12/1/92,3.22
1/1/93,3
2/1/93,2.93
3/1/93,2.95
4/1/93,2.87
5/1/93,2.96
6/1/93,3.07
7/1/93,3.04
8/1/93,3.02
9/1/93,2.95
10/1/93,3.02
11/1/93,3.1
12/1/93,3.06
1/1/94,2.98
2/1/94,3.25
3/1/94,3.5
4/1/94,3.68
5/1/94,4.14
6/1/94,4.14
7/1/94,4.33
8/1/94,4.48
9/1/94,4.62
10/1/94,4.95
11/1/94,5.29
12/1/94,5.6
1/1/95,5.71
2/1/95,5.77
3/1/95,5.73
4/1/95,5.65
5/1/95,5.67
6/1/95,5.47
7/1/95,5.42
8/1/95,5.4
9/1/95,5.28
10/1/95,5.28
11/1/95,5.36
12/1/95,5.14
1/1/96,5
2/1/96,4.83
3/1/96,4.96
4/1/96,4.95
5/1/96,5.02
6/1/96,5.09
7/1/96,5.15
8/1/96,5.05
9/1/96,5.09
10/1/96,4.99
11/1/96,5.03
12/1/96,4.91
1/1/97,5.03
2/1/97,5.01
3/1/97,5.14
4/1/97,5.16
5/1/97,5.05
6/1/97,4.93
7/1/97,5.05
8/1/97,5.14
9/1/97,4.95
10/1/97,4.97
11/1/97,5.14
12/1/97,5.16
1/1/98,5.04
2/1/98,5.09
3/1/98,5.03
4/1/98,4.95
5/1/98,5
6/1/98,4.98
7/1/98,4.96
8/1/98,4.9
9/1/98,4.61
10/1/98,3.96
11/1/98,4.41
12/1/98,4.39
1/1/99,4.34
2/1/99,4.44
3/1/99,4.44
4/1/99,4.29
5/1/99,4.5
6/1/99,4.57
7/1/99,4.55
8/1/99,4.72
9/1/99,4.68
10/1/99,4.86
11/1/99,5.07
12/1/99,5.2
1/1/00,5.32
2/1/00,5.55
3/1/00,5.69
4/1/00,5.66
5/1/00,5.79
6/1/00,5.69
7/1/00,5.96
8/1/00,6.09
9/1/00,6
10/1/00,6.11
11/1/00,6.17
12/1/00,5.77
1/1/01,5.15
2/1/01,4.88
3/1/01,4.42
4/1/01,3.87
5/1/01,3.62
6/1/01,3.49
7/1/01,3.51
8/1/01,3.36
9/1/01,2.64
10/1/01,2.16
11/1/01,1.87
12/1/01,1.69
1/1/02,1.65
2/1/02,1.72
3/1/02,1.79
4/1/02,1.71
5/1/02,1.73
6/1/02,1.7
7/1/02,1.68
8/1/02,1.62
9/1/02,1.63
10/1/02,1.58
11/1/02,1.23
12/1/02,1.19
1/1/03,1.17
2/1/03,1.17
3/1/03,1.13
4/1/03,1.13
5/1/03,1.07
6/1/03,0.92
7/1/03,0.9
8/1/03,0.95
9/1/03,0.94
10/1/03,0.92
11/1/03,0.93
12/1/03,0.9
1/1/04,0.88
2/1/04,0.93
3/1/04,0.94
4/1/04,0.94
5/1/04,1.02
6/1/04,1.27
7/1/04,1.33
8/1/04,1.48
9/1/04,1.65
10/1/04,1.76
11/1/04,2.07
12/1/04,2.19
1/1/05,2.33
2/1/05,2.54
3/1/05,2.74
4/1/05,2.78
5/1/05,2.84
6/1/05,2.97
7/1/05,3.22
8/1/05,3.44
9/1/05,3.42
10/1/05,3.71
11/1/05,3.88
12/1/05,3.89
1/1/06,4.24
2/1/06,4.43
3/1/06,4.51
4/1/06,4.6
5/1/06,4.72
6/1/06,4.79
7/1/06,4.95
8/1/06,4.96
9/1/06,4.81
10/1/06,4.92
11/1/06,4.94
12/1/06,4.85
1/1/07,4.98
2/1/07,5.03
3/1/07,4.94
4/1/07,4.87
5/1/07,4.73
6/1/07,4.61
7/1/07,4.82
8/1/07,4.2
9/1/07,3.89
10/1/07,3.9
11/1/07,3.27
12/1/07,3
1/1/08,2.75
2/1/08,2.12
3/1/08,1.26
4/1/08,1.29
5/1/08,1.73
6/1/08,1.86
7/1/08,1.63
8/1/08,1.72
9/1/08,1.13
10/1/08,0.67
11/1/08,0.19
12/1/08,0.03
1/1/09,0.13
2/1/09,0.3
3/1/09,0.21
4/1/09,0.16
5/1/09,0.18
6/1/09,0.18
7/1/09,0.18
8/1/09,0.17
9/1/09,0.12
10/1/09,0.07
11/1/09,0.05
12/1/09,0.05
1/1/10,0.06
2/1/10,0.11
3/1/10,0.15
4/1/10,0.16
5/1/10,0.16
6/1/10,0.12
7/1/10,0.16
8/1/10,0.16
9/1/10,0.15
10/1/10,0.13
11/1/10,0.14
12/1/10,0.14
1/1/11,0.15
2/1/11,0.13
3/1/11,0.1
4/1/11,0.06
5/1/11,0.04
6/1/11,0.04
7/1/11,0.04
8/1/11,0.02
9/1/11,0.01
10/1/11,0.02
11/1/11,0.01
12/1/11,0.01
1/1/12,0.03
2/1/12,0.09
3/1/12,0.08
4/1/12,0.08
5/1/12,0.09
6/1/12,0.09
7/1/12,0.1
8/1/12,0.1
9/1/12,0.11
10/1/12,0.1
11/1/12,0.09
12/1/12,0.07
1/1/13,0.07
2/1/13,0.1
3/1/13,0.09
4/1/13,0.06
5/1/13,0.04
6/1/13,0.05
7/1/13,0.04
8/1/13,0.04
9/1/13,0.02
10/1/13,0.05
11/1/13,0.07
12/1/13,0.07
1/1/14,0.04
2/1/14,0.05
3/1/14,0.05
4/1/14,0.03
5/1/14,0.03
6/1/14,0.04
7/1/14,0.03
8/1/14,0.03
9/1/14,0.02
10/1/14,0.02
11/1/14,0.02
12/1/14,0.03
1/1/15,0.03
2/1/15,0.02
3/1/15,0.03
4/1/15,0.02
5/1/15,0.02
6/1/15,0.02
7/1/15,0.03
8/1/15,0.07
9/1/15,0.02
10/1/15,0.02
